ronda;fecha;grupo;equipo 1;goles;equipo2
1;20 nov 2022;Grupo A;CATAR;0;2;ECUADOR
1;21 nov 2022;Grupo B;INGLATERRA;6;2;IRÁN
1;21 nov 2022;Grupo A;SENEGAL;0;2;PAÍSES BAJOS
1;21 nov 2022;Grupo B;ESTADOS UNIDOS;1;1;GALES
1;22 nov 2022;Grupo C;ARGENTINA;1;2;ARABIA SAUDÍ
1;22 nov 2022;Grupo D;DINAMARCA;0;0;TÚNEZ
2;22 nov 2022;Grupo C;MÉXICO;0;0;POLONIA
2;22 nov 2022;Grupo D;FRANCIA;4;1;AUSTRALIA
2;23 nov 2022;Grupo F;MARRUECOS;0;0;CROACIA
2;23 nov 2022;Grupo E;ALEMANIA;1;2;JAPÓN
2;23 nov 2022;Grupo E;ESPAÑA;7;0;COSTA RICA
2;23 nov 2022;Grupo F;BÉLGICA;1;0;CANADÁ
3;24 nov 2022;Grupo G;SUIZA;1;0;CAMERÚN
3;24 nov 2022;Grupo H;URUGUAY;0;0;REPÚBLICA DE COREA
3;24 nov 2022;Grupo H;PORTUGAL;3;2;GHANA
3;24 nov 2022;Grupo G;BRASIL;2;0;SERBIA
3;25 nov 2022;Grupo B;GALES;0;2;IRÁN
3;25 nov 2022;Grupo A;CATAR;1;3;SENEGAL
4;25 nov 2022;Grupo A;PAÍSES BAJOS;1;1;ECUADOR
4;25 nov 2022;Grupo B;INGLATERRA;0;0;ESTADOS UNIDOS
4;26 nov 2022;Grupo D;TÚNEZ;0;1;AUSTRALIA
4;26 nov 2022;Grupo C;POLONIA;2;0;ARABIA SAUDÍ
4;26 nov 2022;Grupo D;FRANCIA;2;1;DINAMARCA
4;26 nov 2022;Grupo C;ARGENTINA;2;0;MÉXICO
5;27 nov 2022;Grupo E;JAPÓN;0;1;COSTA RICA
5;27 nov 2022;Grupo F;BÉLGICA;0;2;MARRUECOS
5;27 nov 2022;Grupo F;CROACIA;4;1;CANADÁ
5;27 nov 2022;Grupo E;ESPAÑA;1;1;ALEMANIA
5;28 nov 2022;Grupo G;CAMERÚN;3;3;SERBIA
5;28 nov 2022;Grupo H;REPÚBLICA DE COREA;2;3;GHANA
6;28 nov 2022;Grupo G;BRASIL;1;0;SUIZA
6;28 nov 2022;Grupo H;PORTUGAL;2;0;URUGUAY
6;29 nov 2022;Grupo A;PAÍSES BAJOS;2;0;CATAR
6;29 nov 2022;Grupo A;ECUADOR;1;2;SENEGAL
6;29 nov 2022;Grupo B;GALES;0;3;INGLATERRA
6;29 nov 2022;Grupo B;IRÁN;0;1;ESTADOS UNIDOS
7;30 nov 2022;Grupo D;AUSTRALIA;1;0;DINAMARCA
7;30 nov 2022;Grupo D;TÚNEZ;1;0;FRANCIA
7;30 nov 2022;Grupo C;POLONIA;0;2;ARGENTINA
7;30 nov 2022;Grupo C;ARABIA SAUDÍ;1;2;MÉXICO
7;1 dic 2022;Grupo F;CROACIA;0;0;BÉLGICA
7;1 dic 2022;Grupo F;CANADÁ;1;2;MARRUECOS
8;1 dic 2022;Grupo E;JAPÓN;2;1;ESPAÑA
8;1 dic 2022;Grupo E;COSTA RICA;2;4;ALEMANIA
8;2 dic 2022;Grupo H;GHANA;0;2;URUGUAY
8;2 dic 2022;Grupo H;REPÚBLICA DE COREA;2;1;PORTUGAL
8;2 dic 2022;Grupo G;SERBIA;2;3;SUIZA
8;2 dic 2022;Grupo G;CAMERÚN;1;0;BRASIL
