ronda;equipo 1;goles;equipo2;
1;CATAR;0;2;ECUADOR
1;INGLATERRA;6;2;IRÁN
1;SENEGAL;0;2;PAÍSES BAJOS
1;ESTADOS UNIDOS;1;1;GALES
1;ARGENTINA;1;2;ARABIA SAUDÍ
1;DINAMARCA;0;0;TÚNEZ
2;MÉXICO;0;0;POLONIA
2;FRANCIA;4;1;AUSTRALIA
2;MARRUECOS;0;0;CROACIA
2;ALEMANIA;1;2;JAPÓN
2;ESPAÑA;7;0;COSTA RICA
2;BÉLGICA;1;0;CANADÁ
3;SUIZA;1;0;CAMERÚN
3;URUGUAY;0;0;REPÚBLICA DE COREA
3;PORTUGAL;3;2;GHANA
3;BRASIL;2;0;SERBIA
3;GALES;0;2;IRÁN
3;CATAR;1;3;SENEGAL
4;PAÍSES BAJOS;1;1;ECUADOR
4;INGLATERRA;0;0;ESTADOS UNIDOS
4;TÚNEZ;0;1;AUSTRALIA
4;POLONIA;2;0;ARABIA SAUDÍ
4;FRANCIA;2;1;DINAMARCA
4;ARGENTINA;2;0;MÉXICO
5;JAPÓN;0;1;COSTA RICA
5;BÉLGICA;0;2;MARRUECOS
5;CROACIA;4;1;CANADÁ
5;ESPAÑA;1;1;ALEMANIA
5;CAMERÚN;3;3;SERBIA
5;REPÚBLICA DE COREA;2;3;GHANA
6;BRASIL;1;0;SUIZA
6;PORTUGAL;2;0;URUGUAY
6;PAÍSES BAJOS;2;0;CATAR
6;ECUADOR;1;2;SENEGAL
6;GALES;0;3;INGLATERRA
6;IRÁN;0;1;ESTADOS UNIDOS
7;AUSTRALIA;1;0;DINAMARCA
7;TÚNEZ;1;0;FRANCIA
7;POLONIA;0;2;ARGENTINA
7;ARABIA SAUDÍ;1;2;MÉXICO
7;CROACIA;0;0;BÉLGICA
7;CANADÁ;1;2;MARRUECOS
8;JAPÓN;2;1;ESPAÑA
8;COSTA RICA;2;4;ALEMANIA
8;GHANA;0;2;URUGUAY
8;REPÚBLICA DE COREA;2;1;PORTUGAL
8;SERBIA;2;3;SUIZA
8;CAMERÚN;1;0;BRASIL
